Date,Home,Away,Time,TV
Thursday 14 November 2024,Ottawa Senators,Philadelphia Flyers,19:00,
Thursday 14 November 2024,Tampa Bay Lightning,Winnipeg Jets,19:00,
Thursday 14 November 2024,Florida Panthers,New Jersey Devils,19:00,
Thursday 14 November 2024,New York Rangers,San Jose Sharks,19:00,
Thursday 14 November 2024,Dallas Stars,Boston Bruins,20:00,
Thursday 14 November 2024,Minnesota Wild,Montreal Canadiens,20:00,
Thursday 14 November 2024,Edmonton Oilers,Nashville Predators,21:00,
Thursday 14 November 2024,Vancouver Canucks,New York Islanders,22:00,
Thursday 14 November 2024,Seattle Kraken,Chicago Blackhawks,22:00,
Friday 15 November 2024,Columbus Blue Jackets,Pittsburgh Penguins,19:00,
Friday 15 November 2024,Colorado Avalanche,Washington Capitals,21:00,
Friday 15 November 2024,Calgary Flames,Nashville Predators,21:00,
Friday 15 November 2024,Utah Jazz,Vegas Golden Knights,21:00,
Friday 15 November 2024,Anaheim Ducks,Detroit Red Wings,22:00,
Saturday 16 November 2024,Boston Bruins,St. Louis Blues,13:00,
Saturday 16 November 2024,Seattle Kraken,New York Rangers,16:00,
Saturday 16 November 2024,Toronto Maple Leafs,Edmonton Oilers,19:00,
Saturday 16 November 2024,Montreal Canadiens,Columbus Blue Jackets,19:00,
Saturday 16 November 2024,Tampa Bay Lightning,New Jersey Devils,19:00,
Saturday 16 November 2024,Florida Panthers,Winnipeg Jets,19:00,
Saturday 16 November 2024,Philadelphia Flyers,Buffalo Sabres,19:00,
Saturday 16 November 2024,Pittsburgh Penguins,San Jose Sharks,19:00,
Saturday 16 November 2024,Carolina Hurricanes,Ottawa Senators,19:00,
Saturday 16 November 2024,Minnesota Wild,Dallas Stars,20:00,
Saturday 16 November 2024,Los Angeles Kings,Detroit Red Wings,20:00,
Saturday 16 November 2024,Vancouver Canucks,Chicago Blackhawks,22:00,
Sunday 17 November 2024,Carolina Hurricanes,St. Louis Blues,17:00,
Sunday 17 November 2024,Vancouver Canucks,Nashville Predators,20:00,
Sunday 17 November 2024,Vegas Golden Knights,Washington Capitals,20:00,
Sunday 17 November 2024,Seattle Kraken,New York Islanders,21:00,
Monday 18 November 2024,Boston Bruins,Columbus Blue Jackets,19:00,
Monday 18 November 2024,Philadelphia Flyers,Colorado Avalanche,19:00,
Monday 18 November 2024,Montreal Canadiens,Edmonton Oilers,19:30,
Monday 18 November 2024,Dallas Stars,Anaheim Ducks,20:00,
Monday 18 November 2024,Utah Jazz,Washington Capitals,21:00,
