Date,Home,Away,Time,TV
Tuesday 19 November 2024,Dallas Mavericks,New Orleans Pelicans,20:30,NBA League Pass
Tuesday 19 November 2024,Los Angeles Lakers,Utah Jazz,22:30,NBA League Pass
Wednesday 20 November 2024,Milwaukee Bucks,Chicago Bulls,19:30,ESPN
Wednesday 20 November 2024,Phoenix Suns,New York Knicks,22:00,ESPN
Wednesday 20 November 2024,Cleveland Cavaliers,New Orleans Pelicans,19:30,NBA League Pass
Wednesday 20 November 2024,Houston Rockets,Indiana Pacers,20:00,NBA League Pass
Wednesday 20 November 2024,Memphis Grizzlies,Philadelphia 76ers,20:00,NBA League Pass
Wednesday 20 November 2024,Oklahoma City Thunder,Portland Trail Blazers,20:00,NBA League Pass
Wednesday 20 November 2024,Golden State Warriors,Atlanta Hawks,22:00,NBA League Pass
Wednesday 20 November 2024,LA Clippers,Orlando Magic,22:30,NBA League Pass
Thursday 21 November 2024,Charlotte Hornets,Detroit Pistons,19:00,NBATV
Thursday 21 November 2024,Toronto Raptors,Minnesota Timberwolves,19:30,NBA League Pass
Thursday 21 November 2024,San Antonio Spurs,Utah Jazz,20:00,NBA League Pass
Thursday 21 November 2024,Los Angeles Lakers,Orlando Magic,22:30,NBA League Pass
Friday 22 November 2024,Milwaukee Bucks,Indiana Pacers,19:30,ESPN
Friday 22 November 2024,Denver Nuggets,Dallas Mavericks,22:00,ESPN
Friday 22 November 2024,Philadelphia 76ers,Brooklyn Nets,19:00,NBA League Pass
Friday 22 November 2024,Washington Wizards,Boston Celtics,19:00,NBA League Pass
Friday 22 November 2024,Chicago Bulls,Atlanta Hawks,20:00,NBA League Pass
Friday 22 November 2024,Houston Rockets,Portland Trail Blazers,20:00,NBA League Pass
Friday 22 November 2024,New Orleans Pelicans,Golden State Warriors,20:00,NBA League Pass
Friday 22 November 2024,LA Clippers,Sacramento Kings,22:30,NBA League Pass
Saturday 23 November 2024,Utah Jazz,New York Knicks,17:00,NBATV
Saturday 23 November 2024,Chicago Bulls,Memphis Grizzlies,20:00,NBATV
Saturday 23 November 2024,Los Angeles Lakers,Denver Nuggets,22:30,NBATV
Saturday 23 November 2024,Orlando Magic,Detroit Pistons,19:00,NBA League Pass
Saturday 23 November 2024,Houston Rockets,Portland Trail Blazers,20:00,NBA League Pass
